Date,Portfolio Progression,DJIA
2022-01-03,36585.05859375,36585.05859375
2022-01-04,36961.07797455081,36799.6484375
2022-01-05,36459.718800149734,36407.109375
2022-01-06,36327.21550705211,36236.46875
2022-01-07,35239.43596361978,36231.66015625
2022-01-10,34688.83595175569,36068.87109375
2022-01-11,34618.11033516153,36252.01953125
2022-01-12,34862.521502841846,36290.3203125
2022-01-13,34645.866393493365,36113.62109375
2022-01-14,33304.72202292915,35911.80859375
2022-01-18,32832.01112715657,35368.46875
2022-01-19,32202.621199862995,35028.6484375
2022-01-20,31297.48086696838,34715.390625
2022-01-21,31254.5141683865,34265.37109375
2022-01-24,32571.479940846897,34364.5
2022-01-25,32139.056223085747,34297.73046875
2022-01-26,31986.858310811192,34168.08984375
2022-01-27,31910.759354673915,34160.78125
2022-01-28,32815.89110852721,34725.46875
2022-01-31,32855.288925922396,35131.859375
2022-02-01,33009.279857831614,35405.23828125
2022-02-02,33459.60803481548,35629.328125
2022-02-03,32661.00795632132,35111.16015625
2022-02-04,32200.831039908768,35089.73828125
2022-02-07,31993.126730331427,35091.12890625
2022-02-08,32359.297371703553,35462.78125
2022-02-09,32621.61871796745,35768.05859375
2022-02-10,31790.79004093633,35241.58984375
2022-02-11,31361.048703426073,34738.05859375
2022-02-14,31474.749597643433,34566.171875
2022-02-15,31626.95322927886,34988.83984375
2022-02-16,31343.147103883803,34934.26953125
2022-02-17,31150.66201359783,34312.03125
2022-02-18,31054.859859242304,34079.1796875
2022-02-22,28306.329480446588,33596.609375
2022-02-23,27615.170455690866,33131.76171875
2022-02-24,28044.005274502255,33223.828125
2022-02-25,28349.299038708912,34058.75
2022-02-28,28275.888182183415,33892.6015625
2022-03-01,28671.602182161165,33294.94921875
2022-03-02,29309.053548609638,33891.3515625
2022-03-03,29039.56870284839,33794.66015625
2022-03-04,29030.617903077262,33614.80078125
2022-03-07,28897.210950961216,32817.37890625
2022-03-08,28357.354758502934,32632.640625
2022-03-09,28569.920524824982,33286.25
2022-03-10,28636.5710967949,33174.0703125
2022-03-11,28532.996331008722,32944.19140625
2022-03-14,28674.401809310028,32945.23828125
2022-03-15,29591.306867526826,33544.33984375
2022-03-16,29804.767713825986,34063.1015625
2022-03-17,30295.646159421576,34480.76171875
2022-03-18,30690.14479521315,34754.9296875
2022-03-21,29666.06177385821,34552.98828125
2022-03-22,29698.487690345402,34807.4609375
2022-03-23,28556.408534755137,34358.5
2022-03-24,28442.02703659352,34707.94140625
2022-03-25,27982.667988786256,34861.23828125
2022-03-28,28306.91857461683,34955.890625
2022-03-29,28615.855571701577,35294.19140625
2022-03-30,27782.713413196063,35228.80859375
2022-03-31,26960.383706426863,34678.3515625
2022-04-01,27190.962599828265,34818.26953125
2022-04-04,27523.314660339867,34921.87890625
2022-04-05,27458.46568704593,34641.1796875
2022-04-06,26889.231997447434,34496.51171875
2022-04-07,27268.422763854058,34583.5703125
2022-04-08,28021.40236031981,34721.12109375
2022-04-11,27625.99720582937,34308.078125
2022-04-12,27587.268553656693,34220.359375
2022-04-13,27959.25578503984,34564.58984375
2022-04-14,27427.84136923472,34451.23046875
2022-04-18,27039.65118848951,34411.69140625
2022-04-19,27723.2720956105,34911.19921875
2022-04-20,28384.38159832306,35160.7890625
2022-04-21,27953.853848692343,34792.76171875
2022-04-22,27030.640335429176,33811.3984375
2022-04-25,27465.677801110724,34049.4609375
2022-04-26,27017.131205039772,33240.1796875
2022-04-27,27164.84513838744,33301.9296875
2022-04-28,28079.94859792826,33916.390625
2022-04-29,27056.76065655044,32977.2109375
2022-05-02,27648.51718927911,33061.5
2022-05-03,27467.479399786702,33128.7890625
2022-05-04,28399.68946770801,34061.05859375
2022-05-05,26940.568980671527,32997.96875
2022-05-06,26508.239632364828,32899.37109375
2022-05-09,26753.228455493627,32245.69921875
2022-05-10,26224.52215706335,32160.740234375
2022-05-11,25485.955350005435,31834.109375
2022-05-12,26092.118952781067,31730.30078125
2022-05-13,26663.15996041642,32196.66015625
2022-05-16,26659.55676306446,32223.419921875
2022-05-17,27106.30176045943,32654.58984375
2022-05-18,25685.90706591519,31490.0703125
2022-05-19,25918.28755799257,31253.130859375
2022-05-20,25866.947715088038,31261.900390625
2022-05-23,25762.469290283432,31880.240234375
2022-05-24,25932.69748771997,31928.619140625
2022-05-25,26441.589060394912,32120.279296875
2022-05-26,27273.82470020156,32637.189453125
2022-05-27,27782.713413196063,33212.9609375
2022-05-31,27268.422763854058,32990.12109375
2022-06-01,26936.694113677953,32813.23046875
2022-06-02,27723.426518354154,33248.28125
2022-06-03,27651.820120185075,32899.69921875
2022-06-06,27543.964412783116,32915.78125
2022-06-07,27351.80818574751,33180.140625
2022-06-08,26967.507170398076,32910.8984375
2022-06-09,27178.69171106854,32272.7890625
2022-06-10,26216.117556255886,31392.7890625
2022-06-13,25665.03997775865,30516.740234375
2022-06-14,25258.07599493756,30364.830078125
2022-06-15,25354.15267861514,30668.529296875
2022-06-16,24785.851244839454,29927.0703125
2022-06-17,24538.4088158948,29888.779296875
2022-06-21,24399.73433241184,30530.25
2022-06-22,24379.790921036794,30483.130859375
2022-06-23,24963.5031726932,30677.359375
2022-06-24,25650.535678576798,31500.6796875
2022-06-27,25622.439318272834,31438.259765625
2022-06-28,24485.839310401898,30946.990234375
2022-06-29,24823.009932451638,31029.310546875
2022-06-30,24859.264961045385,30775.4296875
2022-07-01,25295.234682549744,31097.259765625
2022-07-05,25716.70296455268,30967.8203125
2022-07-06,25703.10232438926,31037.6796875
