date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,1001484.1541969144,1005865.5049902436
2022-01-05,998969.4902647514,995136.0138376162
2022-01-06,995057.3523605308,990471.7975821542
2022-01-07,990441.2035195197,990340.3615824638
2022-01-10,988336.8013905372,985890.7565044003
2022-01-11,991772.7589272384,990896.8558394794
2022-01-12,990593.1105495682,991943.7526526102
2022-01-13,989199.7729320984,987113.9334438421
2022-01-14,985767.6375541307,981597.6787825888
2022-01-18,971018.5188081207,966746.2649914182
2022-01-19,964557.1301950684,957457.7651075325
2022-01-20,958757.7864036448,948895.3129879801
2022-01-21,947793.6324174424,936594.6758276811
2022-01-24,947706.1865449144,939304.2220211355
2022-01-25,950854.6338285828,937479.1728394073
2022-01-26,944998.0278765376,933935.63266254
2022-01-27,943106.8095592768,933735.8627556182
2022-01-28,954688.6834211925,949170.7840515067
2022-01-31,953734.074136471,960278.8877588881
2022-02-01,954166.2405120851,967751.3072863698
2022-02-02,956607.7462377092,973876.4811240927
2022-02-03,954204.0691605835,959713.1043613582
2022-02-04,953569.0823984032,959127.5681937693
2022-02-07,952297.2554913446,959165.5789296668
2022-02-08,956562.2567038576,969324.1616417221
2022-02-09,958778.2966271174,977668.4791167842
2022-02-10,954327.384903927,963278.2124276955
2022-02-11,948040.5472917976,949514.9093374547
2022-02-14,945586.4185586588,944816.6329001071
2022-02-15,951817.5941261942,956369.6544066027
2022-02-16,953063.6711446842,954878.0533378178
2022-02-17,942907.8116682514,937870.0641431168
2022-02-18,937596.8694612508,931505.4013148939
2022-02-22,924019.356933228,918315.0353280962
2022-02-23,914618.8035901492,905609.092680531
2022-02-24,914817.5131395306,908125.5955860567
2022-02-25,930303.400233494,930946.9851667373
2022-02-28,925931.1137923396,926405.5564008318
2022-03-01,908442.5573912852,910069.5884750595
2022-03-02,924006.0919562114,926371.3894472161
2022-03-03,916299.6172533648,923728.4688133122
2022-03-04,905501.7700089765,918812.2712749346
2022-03-07,876825.6193070529,897015.8903027246
2022-03-08,864661.1576437191,891966.3348735155
2022-03-09,885754.2119546704,909831.8078322402
2022-03-10,880245.9112677235,906765.5372886921
2022-03-11,872842.80712048,900482.1277470364
2022-03-14,875009.526203667,900510.7425706895
2022-03-15,897458.7799272808,916886.32280831
2022-03-16,909839.1380575412,931065.9288740121
2022-03-17,917971.5174642492,942482.0690225849
2022-03-18,925100.4106729588,949976.0564395365
2022-03-21,921724.7059518972,944456.2783111915
2022-03-22,927614.273584149,951411.9226652359
