date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,1000313.9295310974,1005865.5049902436
2022-01-05,993374.8692020416,995136.0138376162
2022-01-06,987414.9659324643,990471.7975821542
2022-01-07,985207.676690216,990340.3615824638
2022-01-10,982086.6454359816,985890.7565044003
2022-01-11,984004.900423931,990896.8558394794
2022-01-12,981752.6877021596,991943.7526526102
2022-01-13,976706.569746456,987113.9334438421
2022-01-14,974269.8665593376,981597.6787825888
2022-01-18,963785.491466774,966746.2649914182
2022-01-19,963680.9527891654,957457.7651075325
2022-01-20,956355.5862809144,948895.3129879801
2022-01-21,954608.3414727172,936594.6758276811
2022-01-24,954604.5541497192,939304.2220211355
2022-01-25,947955.2239304504,937479.1728394073
2022-01-26,941076.361927124,933935.63266254
2022-01-27,941697.8729821166,933735.8627556182
2022-01-28,957267.3407746276,949170.7840515067
2022-01-31,956310.0979803046,960278.8877588881
2022-02-01,957615.8299631078,967751.3072863698
2022-02-02,961303.1995187716,973876.4811240927
2022-02-03,955076.4794004398,959713.1043613582
2022-02-04,955504.3921311222,959127.5681937693
2022-02-07,953873.2220857578,959165.5789296668
2022-02-08,957447.5234035678,969324.1616417221
2022-02-09,961822.0988146856,977668.4791167842
2022-02-10,950002.574105968,963278.2124276955
2022-02-11,938785.005035892,949514.9093374547
2022-02-14,934840.9922954366,944816.6329001071
2022-02-15,942264.8230399586,956369.6544066027
2022-02-16,941314.8369175984,954878.0533378178
2022-02-17,934864.188747524,937870.0641431168
2022-02-18,931745.8748399006,931505.4013148939
2022-02-22,923913.228149532,918315.0353280962
2022-02-23,910580.7339478718,905609.092680531
2022-02-24,903182.523929714,908125.5955860567
2022-02-25,924341.9712716328,930946.9851667373
2022-02-28,915058.3931084858,926405.5564008318
2022-03-01,900349.766342281,910069.5884750595
2022-03-02,914958.69182217,926371.3894472161
2022-03-03,917115.668899654,923728.4688133122
2022-03-04,918269.5943375812,918812.2712749346
2022-03-07,896762.3817902791,897015.8903027246
2022-03-08,889685.9868394124,891966.3348735155
2022-03-09,900461.1360856282,909831.8078322402
2022-03-10,897884.0876275288,906765.5372886921
2022-03-11,895189.3853989827,900482.1277470364
2022-03-14,895751.8796845662,900510.7425706895
2022-03-15,911180.6353532064,916886.32280831
2022-03-16,920521.1668168294,931065.9288740121
2022-03-17,927739.9697266804,942482.0690225849
2022-03-18,932630.776310085,949976.0564395365
2022-03-21,931106.034401058,944456.2783111915
2022-03-22,937425.8726006732,951411.9226652359
2022-03-23,931130.7449609028,939140.2206437801
2022-03-24,937688.9869500386,948691.6992987766
2022-03-25,945509.68677914,952881.849072821
2022-03-28,949930.922592281,955469.0348636392
2022-03-29,961166.3845330464,964716.0005445358
2022-03-30,964538.3163033712,962928.855326975
2022-03-31,952430.04023373,947882.9034436552
2022-04-01,957311.7438584552,951707.3600422817
2022-04-04,956202.3965493428,954539.3734101022
2022-04-05,951667.1318214298,946866.8636605087
2022-04-06,956067.2295499037,942912.5726381426
2022-04-07,961863.2725432965,945292.1941857454
2022-04-08,961260.3201387096,949051.947115962
2022-04-11,950294.1899515112,937762.0111523072
2022-04-12,947059.0964612042,935364.345182326
2022-04-13,957946.5476588742,944773.3903494372
2022-04-14,961391.5401886556,941674.8747434141
2022-04-18,956875.6642492788,940594.1312918579
2022-04-19,970052.9396923444,954247.4595001481
2022-04-20,976132.73240332,961069.6391916312
2022-04-21,972841.8827436024,951010.1406450614
2022-04-22,947547.9422647168,924185.9856765724
2022-04-25,951318.52702132,930693.0819926808
2022-04-26,928508.7845548092,908572.5420480419
2022-04-27,934730.5441815908,910260.389556657
2022-04-28,949332.2075696524,927055.7962368303
2022-04-29,922596.5655165137,901384.669181141
2022-05-02,923386.558571552,903688.589572139
2022-05-03,922550.2817956464,905527.8393939637
2022-05-04,947523.9548156202,931010.0872591964
2022-05-05,921051.4866728018,901952.0541546214
2022-05-06,915952.8538662222,899257.0289164537
2022-05-09,906054.7804601132,881389.8476100483
2022-05-10,901390.8675766104,879067.6158673469
2022-05-11,891115.2347575644,870139.6307299716
2022-05-12,892222.585383129,867302.1720039186
2022-05-13,903536.0442811926,880049.4353110127
2022-05-16,904721.451402355,880780.8750477136
2022-05-17,909580.9062901228,892566.2852246611
2022-05-18,908742.3135661276,860735.817377633
2022-05-19,907855.4540904196,854259.4179339136
2022-05-20,907689.2677692068,854499.1204678736
2022-05-23,910779.7174564856,871400.5514759857
2022-05-24,910880.417790428,872722.919352643
2022-05-25,912947.363399055,877961.6742874989
2022-05-26,920519.3373790276,892090.6705531576
2022-05-27,931322.586997947,907828.5566330603
2022-05-31,923467.1436368516,901737.549748953
2022-06-01,922792.005882602,896902.4987254125
2022-06-02,936583.1456013828,908793.9866161636
2022-06-03,928245.6346658816,899265.9977417779
2022-06-06,927888.230042606,899705.5769543898
2022-06-07,937879.8424368434,906931.4605571884
2022-06-08,931202.0533593822,899572.1122918285
2022-06-09,914684.714616382,882130.3095579384
2022-06-10,891490.434343021,858076.7742124917
2022-06-13,865073.7949138638,834131.2384719898
2022-06-14,858521.2526763798,829978.9926621128
2022-06-15,868207.4134649578,838280.1743582352
2022-06-16,847883.8296704403,818013.4585765727
2022-06-17,847656.676478252,816966.8286927671
2022-06-21,871238.443050697,834500.5085003644
2022-06-22,876213.9128912159,833212.5745066479
2022-06-23,885606.3293821674,838521.531854011
2022-06-24,901356.2446359288,861025.8093964461
2022-06-27,902379.1676165806,859319.6505361276
2022-06-28,887904.5550559384,845891.5039065107
