date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,1002203.9482018126,1005865.5049902436
2022-01-05,998131.1774172856,995136.0138376162
2022-01-06,997278.494225147,990471.7975821542
2022-01-07,997031.6827717776,990340.3615824638
2022-01-10,993841.1071665912,985890.7565044003
2022-01-11,996462.1680528368,990896.8558394794
2022-01-12,998972.3106962198,991943.7526526102
2022-01-13,992789.0691185868,987113.9334438421
2022-01-14,990628.9332099603,981597.6787825888
2022-01-18,983549.4729519722,966746.2649914182
2022-01-19,975008.7521057732,957457.7651075325
2022-01-20,971262.0587334587,948895.3129879801
2022-01-21,956585.4803071358,936594.6758276811
2022-01-24,959867.679051696,939304.2220211355
2022-01-25,958126.9391624368,937479.1728394073
2022-01-26,957402.81825727,933935.63266254
2022-01-27,955817.9660118554,933735.8627556182
2022-01-28,972430.26378062,949170.7840515067
2022-01-31,971515.5857485308,960278.8877588881
2022-02-01,972926.4476360468,967751.3072863698
2022-02-02,974577.6298695824,973876.4811240927
2022-02-03,971872.7861275934,959713.1043613582
2022-02-04,969117.38212738,959127.5681937693
2022-02-07,968984.0822755424,959165.5789296668
2022-02-08,972791.0671839708,969324.1616417221
2022-02-09,976431.6834208636,977668.4791167842
2022-02-10,968915.3839482266,963278.2124276955
2022-02-11,958928.6469190136,949514.9093374547
2022-02-14,955173.1026699787,944816.6329001071
2022-02-15,966321.2539746128,956369.6544066027
2022-02-16,965897.7002338368,954878.0533378178
2022-02-17,946156.81712577,937870.0641431168
2022-02-18,938067.392807018,931505.4013148939
2022-02-22,920773.598512489,918315.0353280962
2022-02-23,907796.6809950216,905609.092680531
2022-02-24,908948.8457051694,908125.5955860567
2022-02-25,933244.3013723064,930946.9851667373
2022-02-28,931193.0474494856,926405.5564008318
2022-03-01,910692.2702152288,910069.5884750595
2022-03-02,931046.5967064016,926371.3894472161
2022-03-03,927332.8045057486,923728.4688133122
2022-03-04,922905.973873268,918812.2712749346
2022-03-07,902626.3363931272,897015.8903027246
2022-03-08,907372.7503792607,891966.3348735155
2022-03-09,924717.2257189024,909831.8078322402
2022-03-10,923318.10770166,906765.5372886921
2022-03-11,917887.911123924,900482.1277470364
2022-03-14,916414.156261486,900510.7425706895
2022-03-15,931193.0775696562,916886.32280831
2022-03-16,947776.4841148832,931065.9288740121
2022-03-17,960813.4912387464,942482.0690225849
2022-03-18,971276.796439125,949976.0564395365
2022-03-21,966591.3408999403,944456.2783111915
2022-03-22,974839.0415764464,951411.9226652359
2022-03-23,962764.4667921292,939140.2206437801
2022-03-24,973458.071864742,948691.6992987766
2022-03-25,977499.8456638833,952881.849072821
2022-03-28,979511.181617504,955469.0348636392
2022-03-29,987151.717618614,964716.0005445358
2022-03-30,984437.2959988784,962928.855326975
2022-03-31,968216.8319864616,947882.9034436552
2022-04-01,967330.9647559624,951707.3600422817
2022-04-04,971841.3142318228,954539.3734101022
2022-04-05,961403.82642976,946866.8636605087
2022-04-06,954873.8969470138,942912.5726381426
2022-04-07,957342.932411415,945292.1941857454
2022-04-08,959664.858932518,949051.947115962
2022-04-11,943751.054169815,937762.0111523072
2022-04-12,939920.0833546828,935364.345182326
2022-04-13,950476.5472755128,944773.3903494372
2022-04-14,948943.0095772666,941674.8747434141
2022-04-18,948588.2699778556,940594.1312918579
2022-04-19,962045.373486908,954247.4595001481
2022-04-20,969290.748062809,961069.6391916312
2022-04-21,958779.8715906296,951010.1406450614
2022-04-22,930464.3950165788,924185.9856765724
2022-04-25,940212.5456356432,930693.0819926808
2022-04-26,918681.6715673791,908572.5420480419
2022-04-27,927411.5247307892,910260.389556657
2022-04-28,936911.1804541816,927055.7962368303
2022-04-29,914611.1046482126,901384.669181141
2022-05-02,917452.6451369516,903688.589572139
2022-05-03,915739.338743622,905527.8393939637
2022-05-04,939175.9768333818,931010.0872591964
2022-05-05,913955.560744736,901952.0541546214
2022-05-06,914269.7085821,899257.0289164537
2022-05-09,896483.9788763697,881389.8476100483
2022-05-10,894901.330002392,879067.6158673469
2022-05-11,888737.9170498812,870139.6307299716
2022-05-12,883971.5329251176,867302.1720039186
2022-05-13,892893.9661051218,880049.4353110127
2022-05-16,898699.6445808756,880780.8750477136
2022-05-17,907046.04127129,892566.2852246611
2022-05-18,906139.0159809917,860735.817377633
2022-05-19,903908.627143822,854259.4179339136
2022-05-20,903747.84889856,854499.1204678736
2022-05-23,907009.8861764874,871400.5514759857
2022-05-24,909706.584339932,872722.919352643
2022-05-25,911312.1545417296,877961.6742874989
2022-05-26,919809.1502854354,892090.6705531576
2022-05-27,931494.9686982848,907828.5566330603
2022-05-31,921346.149986962,901737.549748953
2022-06-01,912809.2290215576,896902.4987254125
2022-06-02,921269.402362725,908793.9866161636
2022-06-03,913240.6373454672,899265.9977417779
2022-06-06,916047.7576979264,899705.5769543898
2022-06-07,923430.4113947684,906931.4605571884
2022-06-08,913252.3550690887,899572.1122918285
2022-06-09,900634.462437947,882130.3095579384
2022-06-10,888135.2652851837,858076.7742124917
2022-06-13,867006.1981774681,834131.2384719898
2022-06-14,857840.6076743859,829978.9926621128
2022-06-15,862315.6472568711,838280.1743582352
2022-06-16,847009.7847452668,818013.4585765727
2022-06-17,842102.9895735214,816966.8286927671
2022-06-21,868090.3136269044,834500.5085003644
2022-06-22,868336.7727674225,833212.5745066479
2022-06-23,876438.0153495491,838521.531854011
2022-06-24,890283.0101683243,861025.8093964461
2022-06-27,894328.4570246857,859319.6505361276
2022-06-28,884716.425030114,845891.5039065107
2022-06-29,887470.9587066507,848141.611345564
2022-06-30,885535.5785334557,841202.142908622
2022-07-01,893640.7720837945,849998.905589767
2022-07-05,883577.3182115373,846460.8641569972
2022-07-06,890687.8250131425,848370.369777194
2022-07-07,896068.6926965798,857851.5926338184
2022-07-08,895838.2689196825,856583.304638431
2022-07-11,892083.1779003954,852092.1119715134
2022-07-12,881334.1596965265,846830.1341853718
2022-07-13,871358.3001799097,841129.965219109
2022-07-14,866195.0168036814,837231.6759691536
2022-07-15,890551.4252535715,855219.6161022446
2022-07-18,887514.6472047548,849325.1225872926
2022-07-19,910838.9445006876,869946.694213773
2022-07-20,918340.2293918468,871252.9395591929
2022-07-21,924534.2165252848,875682.6317096023
2022-07-22,916818.1876510286,871921.2238175699
2022-07-25,917536.8029106111,874401.744650069
2022-07-26,897038.1268470736,868156.0255291206
2022-07-27,920474.5427253696,880074.8469827644
2022-07-28,930799.1919258088,889150.7109662574
2022-07-29,951883.5994499178,897774.3966729929
2022-08-01,950931.7479186982,896497.0864664163
2022-08-02,947742.582327649,885502.7480374022
2022-08-03,954936.5090587584,896882.5324118934
2022-08-04,953137.5066226926,894540.6012849978
2022-08-05,954426.4093005682,896635.6761720199
2022-08-08,952469.066493424,897430.2713870449
2022-08-09,954852.727700108,895841.4012721851
2022-08-10,974925.4742983404,910467.6334846823
2022-08-11,974989.3953148312,911210.0173237132
2022-08-12,987808.322124539,922809.8048479704
2022-08-15,993635.4165688138,926947.8500177509
2022-08-16,996510.6980095488,933496.1602216582
2022-08-17,993678.5828934292,928803.2223708129
2022-08-18,993261.1587944608,929314.8725012079
2022-08-19,981646.2655945402,921325.2507133685
2022-08-22,959997.9418373684,903746.2463063655
2022-08-23,956443.8803597074,899536.3437622621
2022-08-24,959823.084270535,901166.5345366508
2022-08-25,969085.2460632902,909982.9966019897
2022-08-26,938781.6977577788,882420.3549626165
2022-08-29,930688.1546555144,877379.7683587316
2022-08-30,924342.2351647,868957.7210641939
2022-08-31,920274.0085411648,861292.3116346485
2022-09-01,922044.8717499356,865282.7448876362
2022-09-02,913412.6817207914,856044.5344886034
2022-09-06,906198.2624817472,851312.037711775
2022-09-07,920622.283893643,863228.8838884128
2022-09-08,927159.4630470852,868510.8279880736
2022-09-09,941035.650917111,878820.8130133385
2022-09-12,952132.5857163052,885097.389164271
2022-09-13,912925.0882187468,850209.6729848838
2022-09-14,915501.3458409047,851032.9364094269
2022-09-15,908102.7820984236,846296.8627796419
2022-09-16,900222.3021012807,842486.5534352469
2022-09-19,908074.784185906,847878.3656451281
2022-09-20,900052.2071181531,839310.6817108035
2022-09-21,887696.363094666,825030.2297460701
2022-09-22,876865.6109751401,822102.8158374507
2022-09-23,859000.2579178357,808811.3370222966
2022-09-26,850521.3228439832,799802.2053700841
2022-09-27,842989.6698174024,796363.0879452047
2022-09-28,855960.7013420606,811362.3805824933
2022-09-29,840772.776525929,798840.0319247473
2022-09-30,826051.6412872815,785170.5277993546
2022-10-03,847246.5320343518,806091.1136558373
2022-10-04,874362.0667824292,828653.047932499
2022-10-05,869206.1195379568,827492.706156191
2022-10-06,857555.7929077001,818009.881723616
2022-10-07,839212.6134920659,800785.6263897007
2022-10-10,836453.7216414647,798218.780613457
2022-10-11,834814.2382666784,799211.2238442628
2022-10-12,833458.321551415,798436.5949427569
2022-10-13,859213.1151695848,821065.2615506992
2022-10-14,844482.0789287802,810025.4917505492
2022-10-17,862647.2340819403,825086.0179750208
2022-10-18,874613.8772369791,834324.2283740534
2022-10-19,868525.5717174822,831591.1390141231
2022-10-20,864164.1665739161,829125.0857510457
2022-10-21,880542.0834011465,849597.1235695925
2022-10-24,891439.1964898306,860996.8208717378
2022-10-25,902890.4083609872,870211.5414901597
2022-10-26,893745.2818281809,870276.2985444344
2022-10-27,903489.5655805004,875583.6543158469
2022-10-28,930746.3171115938,898230.0984168422
2022-10-31,923158.7602291056,894708.1261294447
2022-11-01,921236.3640028904,892528.2744887637
2022-11-02,907181.6601304348,878712.8134083939
2022-11-03,905245.0342321306,874708.1795153097
2022-11-04,911361.2342810122,885695.4710101407
2022-11-07,923851.4073962924,897278.8690738353
2022-11-08,931706.4615984026,906403.5811238257
2022-11-09,922808.3355187211,888721.8089266506
2022-11-10,952829.0656183154,921561.216236777
2022-11-11,946913.974958287,922449.2367155949
2022-11-14,940942.4431256186,916677.4773043342
2022-11-15,938843.3824887092,918214.2428149299
2022-11-16,943804.9727937514,917145.6713405991
2022-11-17,944626.2294932771,916940.4560754449
2022-11-18,949530.2292422856,922389.9784054176
2022-11-21,951939.771457524,921148.7570435975
2022-11-22,961925.116849366,932022.6035752513
2022-11-23,960304.2293441816,934645.451123906
2022-11-25,967524.6959227796,938826.7388443562
2022-11-28,955468.015785733,925226.3694141703
2022-11-29,950584.3024983412,925310.2919939887
2022-11-30,972399.6731705692,945461.6409213332
2022-12-01,967842.2443256368,940138.2160045485
2022-12-02,967491.2390316608,941091.2604669661
2022-12-05,951066.7714186122,927895.2355784759
2022-12-06,946510.4216604336,918307.6680787228
2022-12-07,946075.2451667774,918350.9106293927
2022-12-08,954249.425941924,923368.2209961268
2022-12-09,947649.5575646198,915030.950455248
2022-12-12,964856.1914098384,929478.8738785632
2022-12-13,966430.5576479404,932310.6737029237
2022-12-14,965336.9936873995,928421.4066641575
2022-12-15,953625.5869831644,907534.9343754255
2022-12-16,938711.4579788884,899833.4894869885
2022-12-19,933153.0220427006,895380.2541701033
2022-12-20,933984.6449474704,897900.3873144508
2022-12-21,943208.5249776448,912298.1280246429
2022-12-22,936519.9447518566,902758.928118602
2022-12-23,942449.7664495877,907581.7003931869
2022-12-27,944542.0016259258,908610.2324687493
2022-12-28,936070.5243226537,898610.3125475467
2022-12-29,943238.1855196292,908042.8474952687
2022-12-30,936363.3220573738,906032.4425901753
2023-01-03,939906.622183625,
