date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,1002688.3149784087,1005865.5049902436
2022-01-05,1003553.7171115874,995136.0138376162
2022-01-06,1002242.0405136108,990471.7975821542
2022-01-07,1005069.0773906708,990340.3615824638
2022-01-10,996223.0699432372,985890.7565044003
2022-01-11,999176.2012160528,990896.8558394794
2022-01-12,1002507.9918739012,991943.7526526102
2022-01-13,1008038.9036308744,987113.9334438421
2022-01-14,1004519.2224634704,981597.6787825888
2022-01-18,996876.7655666196,966746.2649914182
2022-01-19,983854.3227817916,957457.7651075325
2022-01-20,974733.4707707824,948895.3129879801
2022-01-21,962742.9200505676,936594.6758276811
2022-01-24,969740.0094136656,939304.2220211355
2022-01-25,972715.2819356384,937479.1728394073
2022-01-26,963680.998167938,933935.63266254
2022-01-27,960790.3286656798,933735.8627556182
2022-01-28,960465.4216451108,949170.7840515067
2022-01-31,959504.9569313048,960278.8877588881
2022-02-01,961463.4019504545,967751.3072863698
2022-02-02,964648.4189010616,973876.4811240927
2022-02-03,954541.2215950008,959713.1043613582
2022-02-04,949465.6439380643,959127.5681937693
2022-02-07,951953.4894966122,959165.5789296668
2022-02-08,956026.0578702084,969324.1616417221
2022-02-09,961554.7621396596,977668.4791167842
2022-02-10,951056.4131819494,963278.2124276955
2022-02-11,941579.5271739383,949514.9093374547
2022-02-14,936442.4519758832,944816.6329001071
2022-02-15,945970.9059104916,956369.6544066027
2022-02-16,944581.840825996,954878.0533378178
2022-02-17,931126.2720737072,937870.0641431168
2022-02-18,924349.2992267224,931505.4013148939
2022-02-22,901550.1812152478,918315.0353280962
2022-02-23,892460.1462192151,905609.092680531
2022-02-24,890493.9603099439,908125.5955860567
2022-02-25,914603.8139590832,930946.9851667373
2022-02-28,917125.482435188,926405.5564008318
2022-03-01,908369.7792377088,910069.5884750595
2022-03-02,929091.4711398694,926371.3894472161
2022-03-03,927949.017515144,923728.4688133122
2022-03-04,928056.4163379284,918812.2712749346
2022-03-07,917767.2855891796,897015.8903027246
2022-03-08,925365.5960177992,891966.3348735155
2022-03-09,930812.3460597608,909831.8078322402
2022-03-10,931857.0371036144,906765.5372886921
2022-03-11,930341.813962898,900482.1277470364
2022-03-14,930942.0604800794,900510.7425706895
2022-03-15,940435.2460498426,916886.32280831
2022-03-16,946900.6563052748,931065.9288740121
2022-03-17,958385.6098918532,942482.0690225849
2022-03-18,964066.8488101576,949976.0564395365
2022-03-21,959200.071359596,944456.2783111915
2022-03-22,963922.4940051648,951411.9226652359
2022-03-23,953704.4032344434,939140.2206437801
2022-03-24,960643.415613136,948691.6992987766
2022-03-25,967496.5173663708,952881.849072821
2022-03-28,965414.549989662,955469.0348636392
2022-03-29,968751.9160861584,964716.0005445358
2022-03-30,967050.5285930248,962928.855326975
2022-03-31,952098.0162105176,947882.9034436552
2022-04-01,956538.2422809215,951707.3600422817
2022-04-04,957198.9021396252,954539.3734101022
2022-04-05,946775.417625446,946866.8636605087
2022-04-06,946534.1365642508,942912.5726381426
2022-04-07,951670.7775975493,945292.1941857454
2022-04-08,957954.1146523856,949051.947115962
2022-04-11,947036.1382696072,937762.0111523072
2022-04-12,948419.6930383642,935364.345182326
2022-04-13,958331.1030379828,944773.3903494372
2022-04-14,959998.5429916036,941674.8747434141
2022-04-18,960176.30817786,940594.1312918579
2022-04-19,968255.1875120236,954247.4595001481
2022-04-20,977764.1277058944,961069.6391916312
2022-04-21,964951.0615073546,951010.1406450614
2022-04-22,940153.3911747168,924185.9856765724
2022-04-25,943001.915886463,930693.0819926808
2022-04-26,919982.272547138,908572.5420480419
2022-04-27,913925.379185333,910260.389556657
2022-04-28,935965.39408485,927055.7962368303
2022-04-29,910988.4773471564,901384.669181141
2022-05-02,915496.1343941686,903688.589572139
2022-05-03,919804.3619771154,905527.8393939637
2022-05-04,944285.237221706,931010.0872591964
2022-05-05,915581.6337468296,901952.0541546214
2022-05-06,913507.9134600636,899257.0289164537
2022-05-09,889200.0382456701,881389.8476100483
2022-05-10,889278.0961301344,879067.6158673469
2022-05-11,874769.3550076063,870139.6307299716
2022-05-12,867548.9114091452,867302.1720039186
2022-05-13,881293.0362306326,880049.4353110127
2022-05-16,883742.8762583273,880780.8750477136
2022-05-17,898635.858361511,892566.2852246611
2022-05-18,897737.2228490333,860735.817377633
2022-05-19,896012.6247897412,854259.4179339136
2022-05-20,895891.1605503347,854499.1204678736
2022-05-23,898982.5049607542,871400.5514759857
2022-05-24,899532.9503508375,872722.919352643
2022-05-25,900959.7400616836,877961.6742874989
2022-05-26,908568.099772476,892090.6705531576
2022-05-27,916377.525860008,907828.5566330603
2022-05-31,913012.9239181136,901737.549748953
2022-06-01,907916.6089544104,896902.4987254125
2022-06-02,917586.8689541128,908793.9866161636
2022-06-03,908939.1457577742,899265.9977417779
2022-06-06,909443.8250508956,899705.5769543898
2022-06-07,916226.5271589238,906931.4605571884
2022-06-08,912091.234055618,899572.1122918285
2022-06-09,897833.9831290663,882130.3095579384
2022-06-10,877737.3254142645,858076.7742124917
2022-06-13,853453.3963694341,834131.2384719898
2022-06-14,852842.6826269795,829978.9926621128
2022-06-15,862577.0593311155,838280.1743582352
2022-06-16,847149.8673802526,818013.4585765727
2022-06-17,849335.0306692617,816966.8286927671
2022-06-21,873077.9276261022,834500.5085003644
2022-06-22,877455.2991862447,833212.5745066479
2022-06-23,886689.6957492254,838521.531854011
2022-06-24,901201.367351654,861025.8093964461
2022-06-27,902508.8688369748,859319.6505361276
2022-06-28,893699.6944576452,845891.5039065107
2022-06-29,896313.4794182279,848141.611345564
2022-06-30,889390.9571392515,841202.142908622
2022-07-01,898256.2340705794,849998.905589767
2022-07-05,886820.9676157415,846460.8641569972
2022-07-06,893674.9946543158,848370.369777194
2022-07-07,897775.0915476797,857851.5926338184
2022-07-08,900968.0112984922,856583.304638431
2022-07-11,897296.440640499,852092.1119715134
2022-07-12,892125.3840056113,846830.1341853718
2022-07-13,878667.0484799612,841129.965219109
2022-07-14,875925.65107106,837231.6759691536
2022-07-15,909441.971565975,855219.6161022446
2022-07-18,898589.7497822264,849325.1225872926
2022-07-19,925686.376349037,869946.694213773
2022-07-20,914473.6099261474,871252.9395591929
2022-07-21,919902.0224893264,875682.6317096023
2022-07-22,919044.0986116714,871921.2238175699
